input,output
76b86bf1-9fa0-465d-8163-4bb1403c08ef,76B86BF1-9FA0-465D-8163-4BB1403C08EF
be635bde-e893-458d-b3f6-b79bfb8b0273,BE635BDE-E893-458D-B3F6-B79BFB8B0273
8bfef4ba-4e9c-4728-973f-c151d1c173c5,8BFEF4BA-4E9C-4728-973F-C151D1C173C5
735ce653-7f34-4681-a529-8e143e07c35a,735CE653-7F34-4681-A529-8E143E07C35A
eb9ebaf0-155b-456a-80f1-e3bddc38498b,EB9EBAF0-155B-456A-80F1-E3BDDC38498B
6b9fee0d-6d60-4b11-945a-e05643ae94a8,6B9FEE0D-6D60-4B11-945A-E05643AE94A8
d79c7b2c-06db-4d3f-9aa2-f3bbf35d200d,D79C7B2C-06DB-4D3F-9AA2-F3BBF35D200D
13f1a07c-c574-4838-a098-2e82f1a8cc2e,13F1A07C-C574-4838-A098-2E82F1A8CC2E
9bbf3eb1-4d37-4c14-b829-a032282955fa,9BBF3EB1-4D37-4C14-B829-A032282955FA
510488e4-b93a-4fdd-870b-0bfd0562c509,510488E4-B93A-4FDD-870B-0BFD0562C509
4f920e57-b27c-4fcf-9737-e54b109fce35,4F920E57-B27C-4FCF-9737-E54B109FCE35
8c25c8a3-6f46-4a13-88df-6b60e4c21688,8C25C8A3-6F46-4A13-88DF-6B60E4C21688
f806a4ea-4563-470d-bef5-49c652931184,F806A4EA-4563-470D-BEF5-49C652931184
c1294812-4613-4306-88df-9ccd2029a244,C1294812-4613-4306-88DF-9CCD2029A244
36609110-0854-41cc-8282-a9975905c94a,36609110-0854-41CC-8282-A9975905C94A
dd4d23d2-1a70-4c7d-a45a-11b8b2ab9417,DD4D23D2-1A70-4C7D-A45A-11B8B2AB9417
9408896d-c1a3-45f7-a4ae-ea5b8526d28a,9408896D-C1A3-45F7-A4AE-EA5B8526D28A
85e228e4-dd34-4c41-84f0-54bbf3ecddf4,85E228E4-DD34-4C41-84F0-54BBF3ECDDF4
8d88dc29-7e82-4404-b9a9-5db9d428e318,8D88DC29-7E82-4404-B9A9-5DB9D428E318
2682cbd0-09fb-49a2-a5cf-f475462460dd,2682CBD0-09FB-49A2-A5CF-F475462460DD
15dfecc5-e644-45a3-8d05-8054acd927cb,15DFECC5-E644-45A3-8D05-8054ACD927CB
88616351-c2c4-4056-a60c-ff1dfc848b9a,88616351-C2C4-4056-A60C-FF1DFC848B9A
0c20d341-5c3d-4192-8cb3-cb3d75911993,0C20D341-5C3D-4192-8CB3-CB3D75911993
2d82dbcb-82cc-44b8-a6e5-ae919f926a67,2D82DBCB-82CC-44B8-A6E5-AE919F926A67
41a83dda-8b28-46b2-90c7-034bade6cdad,41A83DDA-8B28-46B2-90C7-034BADE6CDAD
48fc1c19-a346-4e59-9611-634fe6dd0887,48FC1C19-A346-4E59-9611-634FE6DD0887
8f8b6ca9-b542-40af-995e-213e58559595,8F8B6CA9-B542-40AF-995E-213E58559595
c6dc14a0-44f9-4292-9c44-952534ce2843,C6DC14A0-44F9-4292-9C44-952534CE2843
4862b3c6-5732-4857-9c81-123cf242aff8,4862B3C6-5732-4857-9C81-123CF242AFF8
74844776-d41d-4eb8-8c67-bccc31f634cc,74844776-D41D-4EB8-8C67-BCCC31F634CC
59f372e8-5a11-4282-81dd-5dfce1601afb,59F372E8-5A11-4282-81DD-5DFCE1601AFB
25d51c89-91f9-475e-a300-817e67069e31,25D51C89-91F9-475E-A300-817E67069E31
9cfd3124-36f7-431d-88f9-c85dbe45f912,9CFD3124-36F7-431D-88F9-C85DBE45F912
b81ce6cf-d96a-4df9-b9e4-861b74e16887,B81CE6CF-D96A-4DF9-B9E4-861B74E16887
4177043a-cda2-4485-916e-d282f200a4e4,4177043A-CDA2-4485-916E-D282F200A4E4
b7372602-2361-4ea9-88d9-43e5232ac4d2,B7372602-2361-4EA9-88D9-43E5232AC4D2
a0d62bb6-3930-4b62-8c9d-09f000059dc1,A0D62BB6-3930-4B62-8C9D-09F000059DC1
66dbb4bd-e0e8-4527-8edc-7d3854543545,66DBB4BD-E0E8-4527-8EDC-7D3854543545
c36aeb97-5cf2-4d7b-b8a0-fdc4bdd944c7,C36AEB97-5CF2-4D7B-B8A0-FDC4BDD944C7
